NATION|SEASON ID|RALLY ID|STAGE PROGR IN RALLY|WINNER|CAR FEDE|CAR BOMBER|WEATHER|TIME|CREATION TM|ENTITY ID|SEASON FINISHED|SEASON START|SEASON END|RALLY WINNER|SEASON WINNER
Spain|15|16|0|FEDE|||CLEAR_SKY|DAWN|2019-05-10T23:25:06.665|17|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Spain|15|16|1|FEDE|||CLEAR_SKY|DAWN|2019-05-10T23:25:06.665|18|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Spain|15|16|2|BOMBER|||CLEAR_SKY|DAWN|2019-05-10T23:25:06.666|19|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Spain|15|16|3|BOMBER|||CLEAR_SKY|DAWN|2019-05-10T23:25:06.666|20|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Spain|15|16|4|BOMBER|||CLEAR_SKY|DAWN|2019-05-10T23:25:06.667|21|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Sweden|15|22|0|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:26:13.844|23|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Sweden|15|22|1|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T00:26:13.845|24|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Sweden|15|22|2|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:26:13.845|25|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Sweden|15|22|3|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:26:13.846|26|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
France|15|27|0|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:50:58.281|28|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
France|15|27|1|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:50:58.281|29|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
France|15|27|2|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:50:58.282|30|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Mexico|15|31|0|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T01:21:10.678|32|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Mexico|15|31|1|FEDE|||CLEAR_SKY|DAWN|2019-05-11T01:21:10.678|33|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Mexico|15|31|2|FEDE|||CLEAR_SKY|DAWN|2019-05-11T01:21:10.679|34|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Mexico|15|31|3|FEDE|||CLEAR_SKY|DAWN|2019-05-11T01:21:10.679|35|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
China|15|36|0|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T01:48:16.279|37|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
China|15|36|1|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T01:48:16.279|38|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
China|15|36|2|FEDE|||CLEAR_SKY|DAWN|2019-05-11T01:48:16.28|39|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
China|15|36|3|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T01:48:16.28|40|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Italy|15|41|0|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T02:26:04.961|42|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Italy|15|41|1|FEDE|||CLEAR_SKY|DAWN|2019-05-11T02:26:04.961|43|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Italy|15|41|2|FEDE|||CLEAR_SKY|DAWN|2019-05-11T02:26:04.961|44|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Italy|15|41|3|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T02:26:04.962|45|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Italy|15|41|4|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T02:26:04.962|46|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Australia|15|47|0|FEDE|||CLEAR_SKY|DAWN|2019-05-17T23:15:54.678|48|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Australia|15|47|1|FEDE|||CLEAR_SKY|DAWN|2019-05-17T23:15:54.679|49|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Australia|15|47|2|BOMBER|||CLEAR_SKY|DAWN|2019-05-17T23:15:54.679|50|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Australia|15|47|3|FEDE|||CLEAR_SKY|DAWN|2019-05-17T23:15:54.68|51|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
United Kingdom|15|52|0|BOMBER|||CLEAR_SKY|DAWN|2019-05-17T23:47:44.398|53|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
United Kingdom|15|52|1|FEDE|||CLEAR_SKY|DAWN|2019-05-17T23:47:44.398|54|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
United Kingdom|15|52|2|FEDE|||CLEAR_SKY|DAWN|2019-05-17T23:47:44.398|55|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
United Kingdom|15|52|3|BOMBER|||CLEAR_SKY|DAWN|2019-05-17T23:47:44.399|56|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
United Kingdom|15|52|4|BOMBER|||CLEAR_SKY|DAWN|2019-05-17T23:47:44.399|57|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Portugal|15|58|0|FEDE|||CLEAR_SKY|DAWN|2019-05-18T00:46:12.179|59|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Portugal|15|58|1|BOMBER|||CLEAR_SKY|DAWN|2019-05-18T00:46:12.18|60|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Portugal|15|58|2|BOMBER|||CLEAR_SKY|DAWN|2019-05-18T00:46:12.18|61|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Portugal|15|58|3|FEDE|||CLEAR_SKY|DAWN|2019-05-18T00:46:12.18|62|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Portugal|15|58|4|BOMBER|||CLEAR_SKY|DAWN|2019-05-18T00:46:12.18|63|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|BOMBER|FEDE
Poland|15|64|0|FEDE|||CLEAR_SKY|DAWN|2019-05-18T01:01:14.604|65|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Poland|15|64|1|FEDE|||CLEAR_SKY|DAWN|2019-05-18T01:01:14.605|66|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Poland|15|64|2|FEDE|||CLEAR_SKY|DAWN|2019-05-18T01:01:14.605|67|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Finland|15|68|0|FEDE|||CLEAR_SKY|DAWN|2019-05-18T01:26:26.642|69|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Finland|15|68|1|FEDE|||CLEAR_SKY|DAWN|2019-05-18T01:26:26.642|70|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Finland|15|68|2|BOMBER|||CLEAR_SKY|DAWN|2019-05-18T01:26:26.643|71|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Finland|15|68|3|FEDE|||CLEAR_SKY|DAWN|2019-05-18T01:26:26.643|72|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Argentina|15|146|0|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-25T01:32:20.455|147|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Argentina|15|146|1|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-25T01:32:20.457|148|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Argentina|15|146|2|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-25T01:32:20.458|149|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Argentina|15|146|3|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-25T01:32:20.461|150|true|2019-05-10T23:25:06.665|2019-05-25T01:32:20.461|FEDE|FEDE
Monaco|151|152|0|BOMBER|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-05-25T02:11:45.784|153|false|2019-05-25T01:34:57.233||BOMBER|
